,index2000,Player,Tm_2000,Pos,Age_2000,G_2000,GS_2000,Tgt_2000,Rec_2000,PassingYds_2000,PassingTD_2000,PassingAtt_2000,RushingYds_2000,RusingTD_2000,RushingAtt_2000,RecevingYds_2000,RecevingTD_2000,FantasyPoints_2000,Int_2000,Fumbeles_2000,FumblesLost_2000,Index_2001,Tm_2001,Age_2001,G_2001,GS_2001,Tgt_2001,Rec_2001,Passingyds_2001,PassingTD_2001,PassingAtt_2001,RushingYds_2001,RushingTD_2001,RushingAtt_2001,ReceivingYds_2001,ReceivingTD_2001,FantasyPoints_2001,Int_2001,Fumbles_2001,FumblesLost_2001,Index_2002,Tm_2002,Age_2002,G_2002,GS_2002,Tgt_2002,Rec_2002,PassingYds_2002,PassingTD_2002,PassingAtt_2002,Rushingyds_2002,RushingTD_2002,RushingAtt_2002,ReceivingYds_2002,ReceivingTD_2002,FantasyPoints_2002,Int_2002,Fumbles_2002,FumblesLost_2002,index2003,Tm_2003,Age_2003,G_2003,GS_2003,Tgt_2003,Rec_2003,PassingYds_2003,PassingTD_2003,PassingAtt_2003,RushingYds_2003,RusingTD_2003,RushingAtt_2003,RecevingYds_2003,RecevingTD_2003,FantasyPoints_2003,Int_2003,Fumbeles_2003,FumblesLost_2003,Index_2004,Tm_2004,Age_2004,G_2004,GS_2004,Tgt_2004,Rec_2004,Passingyds_2004,PassingTD_2004,PassingAtt_2004,RushingYds_2004,RushingTD_2004,RushingAtt_2004,ReceivingYds_2004,ReceivingTD_2004,FantasyPoints_2004,Int_2004,Fumbles_2004,FumblesLost_2004,Index_2005,Tm_2005,Age_2005,G_2005,GS_2005,Tgt_2005,Rec_2005,PassingYds_2005,PassingTD_2005,PassingAtt_2005,Rushingyds_2005,RushingTD_2005,RushingAtt_2005,ReceivingYds_2005,ReceivingTD_2005,FantasyPoints_2005,Int_2005,Fumbles_2005,FumblesLost_2005
0,0.0,Marshall Faulk,STL,RB,27.0,14.0,14.0,113.0,81.0,0.0,0.0,0.0,1359.0,18.0,253.0,830.0,8.0,455.9,0.0,0.0,0.0,0.0,STL,28.0,14.0,14.0,104.0,83.0,0.0,0.0,1.0,1382.0,12.0,260.0,765.0,9.0,417.7,0.0,3.0,3.0,18.0,STL,29.0,14.0,10.0,102.0,80.0,0.0,0.0,0.0,953.0,8.0,212.0,537.0,2.0,283.0,0.0,4.0,3.0,35.0,STL,30.0,11.0,11.0,61.0,45.0,0.0,0.0,0.0,818.0,10.0,209.0,290.0,1.0,221.8,0.0,0.0,0.0,95.0,STL,31.0,14.0,14.0,65.0,50.0,0.0,0.0,0.0,774.0,3.0,195.0,310.0,1.0,180.4,0.0,2.0,1.0,165.0,STL,32.0,16.0,1.0,58.0,44.0,0.0,0.0,0.0,292.0,0.0,65.0,291.0,1.0,106.3,0.0,2.0,1.0
1,1.0,Edgerrin James,IND,RB,22.0,16.0,16.0,87.0,63.0,0.0,0.0,0.0,1709.0,13.0,387.0,594.0,5.0,393.3,0.0,5.0,4.0,109.0,IND,23.0,6.0,6.0,29.0,24.0,0.0,0.0,0.0,662.0,3.0,151.0,193.0,0.0,123.5,0.0,3.0,2.0,66.0,IND,24.0,14.0,14.0,80.0,61.0,0.0,0.0,0.0,989.0,2.0,277.0,354.0,1.0,209.3,0.0,4.0,2.0,15.0,IND,25.0,13.0,13.0,71.0,51.0,0.0,0.0,0.0,1259.0,11.0,310.0,292.0,0.0,266.1,0.0,5.0,3.0,9.0,IND,26.0,16.0,16.0,60.0,51.0,0.0,0.0,0.0,1548.0,9.0,334.0,483.0,0.0,304.1,0.0,6.0,2.0,4.0,IND,27.0,15.0,15.0,50.0,44.0,0.0,0.0,0.0,1506.0,13.0,360.0,337.0,1.0,310.3,0.0,2.0,1.0
2,2.0,Daunte Culpepper,MIN,QB,23.0,16.0,16.0,0.0,0.0,3937.0,33.0,474.0,470.0,7.0,89.0,0.0,0.0,334.48,16.0,11.0,6.0,78.0,MIN,24.0,11.0,11.0,1.0,1.0,2612.0,14.0,366.0,416.0,5.0,71.0,0.0,0.0,195.08,13.0,16.0,6.0,24.0,MIN,25.0,16.0,16.0,0.0,0.0,3853.0,18.0,549.0,609.0,10.0,106.0,0.0,0.0,283.02,23.0,23.0,9.0,22.0,MIN,26.0,14.0,14.0,0.0,0.0,3479.0,25.0,454.0,422.0,4.0,73.0,0.0,0.0,271.36,11.0,16.0,6.0,1.0,MIN,27.0,16.0,16.0,0.0,0.0,4717.0,39.0,548.0,406.0,2.0,88.0,0.0,0.0,365.28,11.0,9.0,5.0,132.0,MIN,28.0,7.0,7.0,0.0,0.0,1564.0,6.0,216.0,147.0,1.0,24.0,0.0,0.0,77.26,12.0,5.0,3.0
3,3.0,Jeff Garcia,SFO,QB,30.0,16.0,16.0,0.0,0.0,4278.0,31.0,561.0,414.0,4.0,72.0,0.0,0.0,338.52,10.0,7.0,1.0,8.0,SFO,31.0,16.0,16.0,0.0,0.0,3538.0,32.0,504.0,254.0,5.0,72.0,0.0,0.0,294.92,12.0,9.0,3.0,40.0,SFO,32.0,16.0,16.0,0.0,0.0,3344.0,21.0,528.0,353.0,3.0,73.0,0.0,0.0,247.06,10.0,2.0,2.0,61.0,SFO,33.0,13.0,13.0,1.0,1.0,2704.0,18.0,392.0,319.0,7.0,56.0,6.0,0.0,223.66,13.0,9.0,3.0,101.0,CLE,34.0,11.0,10.0,0.0,0.0,1731.0,10.0,252.0,169.0,2.0,35.0,0.0,0.0,106.14,9.0,9.0,7.0,204.0,DET,35.0,6.0,5.0,0.0,0.0,937.0,3.0,173.0,51.0,1.0,17.0,0.0,0.0,48.58,6.0,1.0,0.0
4,4.0,Eddie George,TEN,RB,27.0,16.0,16.0,65.0,50.0,0.0,0.0,0.0,1509.0,14.0,403.0,453.0,2.0,334.2,0.0,5.0,4.0,53.0,TEN,28.0,16.0,16.0,51.0,37.0,0.0,0.0,0.0,939.0,5.0,315.0,279.0,0.0,176.8,0.0,8.0,6.0,12.0,TEN,29.0,16.0,16.0,46.0,36.0,0.0,0.0,0.0,1165.0,12.0,343.0,255.0,2.0,260.0,0.0,1.0,1.0,60.0,TEN,30.0,16.0,16.0,31.0,22.0,0.0,0.0,0.0,1031.0,5.0,312.0,163.0,0.0,171.39999999999995,0.0,1.0,0.0,138.0,DAL,31.0,13.0,8.0,13.0,9.0,0.0,0.0,0.0,432.0,4.0,132.0,83.0,0.0,82.5,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
5,5.0,Randy Moss,MIN,WR,23.0,16.0,16.0,129.0,77.0,0.0,0.0,0.0,5.0,0.0,3.0,1437.0,15.0,311.2,0.0,2.0,0.0,18.0,MIN,24.0,16.0,16.0,154.0,82.0,29.0,0.0,1.0,38.0,0.0,3.0,1233.0,10.0,270.26,0.0,0.0,0.0,19.0,MIN,25.0,16.0,16.0,185.0,106.0,13.0,1.0,3.0,51.0,0.0,6.0,1347.0,7.0,290.32,0.0,1.0,1.0,4.0,MIN,26.0,16.0,16.0,172.0,111.0,0.0,0.0,1.0,18.0,0.0,6.0,1632.0,17.0,376.0,0.0,1.0,1.0,46.0,MIN,27.0,13.0,13.0,86.0,49.0,37.0,0.0,2.0,0.0,0.0,0.0,767.0,13.0,201.18,1.0,1.0,1.0,34.0,OAK,28.0,16.0,15.0,123.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0,8.0,208.5,0.0,0.0,0.0
6,6.0,Tony Gonzalez,KAN,TE,24.0,16.0,16.0,150.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,1203.0,9.0,267.3,0.0,0.0,0.0,20.0,KAN,25.0,16.0,16.0,118.0,73.0,40.0,0.0,1.0,9.0,0.0,1.0,917.0,6.0,203.2,0.0,0.0,0.0,27.0,KAN,26.0,16.0,16.0,99.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,773.0,7.0,182.3,0.0,0.0,0.0,12.0,KAN,27.0,16.0,16.0,106.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,916.0,10.0,222.6,0.0,0.0,0.0,10.0,KAN,28.0,16.0,16.0,148.0,102.0,0.0,0.0,0.0,5.0,0.0,1.0,1258.0,7.0,270.3,0.0,0.0,0.0,36.0,KAN,29.0,16.0,16.0,116.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,2.0,180.5,0.0,0.0,0.0
7,7.0,Terrell Owens,SFO,WR,27.0,14.0,13.0,146.0,97.0,0.0,0.0,0.0,11.0,0.0,3.0,1451.0,13.0,319.2000000000001,0.0,3.0,1.0,6.0,SFO,28.0,16.0,16.0,155.0,93.0,0.0,0.0,0.0,21.0,0.0,4.0,1412.0,16.0,332.3,0.0,0.0,0.0,11.0,SFO,29.0,14.0,14.0,159.0,100.0,0.0,0.0,0.0,79.0,1.0,7.0,1300.0,13.0,321.9,0.0,0.0,0.0,26.0,SFO,30.0,15.0,15.0,146.0,80.0,0.0,0.0,0.0,-2.0,0.0,3.0,1102.0,9.0,244.0,0.0,0.0,0.0,14.0,PHI,31.0,14.0,14.0,127.0,77.0,0.0,0.0,0.0,-5.0,0.0,3.0,1200.0,14.0,278.5,0.0,2.0,1.0,99.0,PHI,32.0,7.0,7.0,92.0,47.0,0.0,0.0,0.0,2.0,0.0,1.0,763.0,6.0,159.5,0.0,0.0,0.0
8,8.0,Marvin Harrison,IND,WR,28.0,16.0,16.0,169.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.0,14.0,327.3,0.0,2.0,0.0,4.0,IND,29.0,16.0,16.0,164.0,109.0,0.0,0.0,0.0,3.0,0.0,1.0,1524.0,15.0,351.7,0.0,0.0,0.0,6.0,IND,30.0,16.0,16.0,205.0,143.0,0.0,0.0,0.0,10.0,0.0,2.0,1722.0,11.0,382.2,0.0,0.0,0.0,14.0,IND,31.0,15.0,15.0,142.0,94.0,0.0,0.0,0.0,3.0,0.0,1.0,1272.0,10.0,279.5,0.0,2.0,1.0,15.0,IND,32.0,16.0,16.0,139.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1113.0,15.0,285.3,0.0,1.0,1.0,17.0,IND,33.0,15.0,15.0,134.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.0,12.0,268.6,0.0,0.0,0.0
9,9.0,Rod Smith,DEN,WR,30.0,16.0,16.0,173.0,100.0,0.0,0.0,0.0,99.0,1.0,6.0,1602.0,8.0,322.1,0.0,1.0,1.0,14.0,DEN,31.0,15.0,14.0,172.0,113.0,0.0,0.0,0.0,27.0,0.0,3.0,1343.0,11.0,316.0,0.0,1.0,0.0,63.0,DEN,32.0,16.0,16.0,147.0,89.0,0.0,0.0,1.0,9.0,0.0,6.0,1027.0,5.0,220.6,0.0,1.0,1.0,54.0,DEN,33.0,15.0,15.0,114.0,74.0,72.0,0.0,1.0,98.0,0.0,10.0,845.0,3.0,189.18,0.0,0.0,0.0,42.0,DEN,34.0,16.0,16.0,136.0,79.0,0.0,0.0,0.0,33.0,0.0,5.0,1144.0,7.0,238.7,0.0,4.0,0.0,35.0,DEN,35.0,16.0,16.0,126.0,85.0,0.0,0.0,1.0,7.0,0.0,1.0,1105.0,6.0,228.2,0.0,2.0,2.0
